編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,030035,元石油元大25購02,6,最近六個營業日累積收盤價跌幅達1248.97%﹝第一款﹞。,111.12.06,0.39      ,-----     
1,030035,元石油元大25購02,6,最近六個營業日累積收盤價跌幅達69.84%。且六個營業日起迄兩個營業日收盤價價差達99.51 元﹝第一款﹞。,111.12.05,0.49      ,-----     
1,030035,元石油元大25購02,6,最近六個營業日累積收盤價跌幅達69.62%﹝第一款﹞。,111.12.02,0.50      ,-----     
1,030035,元石油元大25購02,6,最近六個營業日累積收盤價跌幅達70.99%﹝第一款﹞。,111.12.01,0.49      ,-----     
1,030035,元石油元大25購02,6,最近六個營業日累積收盤價跌幅達71.00%﹝第一款﹞。,111.11.30,0.46      ,-----     
1,030035,元石油元大25購02,6,最近六個營業日累積收盤價跌幅達72.74%﹝第一款﹞。,111.11.29,0.44      ,-----     
2,042695,台勝科群益15購01,3,最近六個營業日累積收盤價跌幅達39.07%﹝第一款﹞。,111.05.09,1.98      ,-----     
2,042695,台勝科群益15購01,3,最近六個營業日累積收盤價跌幅達39.07%﹝第一款﹞。,111.05.06,1.98      ,-----     
2,042695,台勝科群益15購01,3,最近六個營業日累積收盤價跌幅達38.92%﹝第一款﹞。,111.05.04,3.30      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價跌幅達34.44%﹝第一款﹞。,111.02.25,0.10      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價跌幅達44.25%﹝第一款﹞。,111.02.24,0.10      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價跌幅達54.09%﹝第一款﹞。,111.02.23,0.10      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價跌幅達59.07%﹝第一款﹞。,111.02.22,0.33      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價跌幅達59.01%﹝第一款﹞。,111.02.21,0.81      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價跌幅達47.02%﹝第一款﹞。,111.02.18,1.29      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價跌幅達33.08%﹝第一款﹞。,111.02.17,1.76      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價漲幅達39.08%﹝第一款﹞。,111.02.11,3.65      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價漲幅達32.56%﹝第一款﹞。,111.02.09,3.35      ,-----     
3,045210,大榮永豐13購02,10,最近六個營業日累積收盤價漲幅達37.66%﹝第一款﹞。,111.02.08,3.13      ,-----     
4,046272,宏達電統一15購02,3,最近六個營業日累積收盤價跌幅達42.43%﹝第一款﹞。,111.01.26,2.43      ,-----     
4,046272,宏達電統一15購02,3,最近六個營業日累積收盤價跌幅達38.20%﹝第一款﹞。,111.01.25,2.69      ,-----     
4,046272,宏達電統一15購02,3,最近六個營業日累積收盤價跌幅達37.90%﹝第一款﹞。,111.01.24,2.71      ,-----     
5,046626,泰鼎永豐13購04,4,最近六個營業日累積收盤價跌幅達34.87%﹝第一款﹞。,111.03.11,1.37      ,-----     
5,046626,泰鼎永豐13購04,4,最近六個營業日累積收盤價跌幅達44.13%﹝第一款﹞。,111.03.10,1.41      ,-----     
5,046626,泰鼎永豐13購04,4,最近六個營業日累積收盤價跌幅達46.73%﹝第一款﹞。,111.03.09,1.24      ,-----     
5,046626,泰鼎永豐13購04,4,最近六個營業日累積收盤價跌幅達39.50%﹝第一款﹞。,111.03.08,1.70      ,-----     
6,047487,富采群益15購01,1,最近六個營業日累積收盤價跌幅達39.45%﹝第一款﹞。,111.04.18,0.25      ,-----     
7,047770,光磊群益15購01,5,最近六個營業日累積收盤價跌幅達36.18%﹝第一款﹞。,111.04.20,3.46      ,-----     
7,047770,光磊群益15購01,5,最近六個營業日累積收盤價跌幅達47.03%﹝第一款﹞。,111.04.19,3.32      ,-----     
7,047770,光磊群益15購01,5,最近六個營業日累積收盤價跌幅達49.25%﹝第一款﹞。,111.04.18,4.34      ,-----     
7,047770,光磊群益15購01,5,最近六個營業日累積收盤價跌幅達39.29%﹝第一款﹞。,111.04.15,5.70      ,-----     
7,047770,光磊群益15購01,5,最近六個營業日累積收盤價跌幅達39.29%﹝第一款﹞。,111.04.14,5.70      ,-----     
8,047934,光磊凱基16購01,4,最近六個營業日累積收盤價跌幅達33.50%﹝第一款﹞。,111.05.25,0.87      ,-----     
8,047934,光磊凱基16購01,4,最近六個營業日累積收盤價跌幅達33.79%﹝第一款﹞。,111.05.24,0.87      ,-----     
8,047934,光磊凱基16購01,4,最近六個營業日累積收盤價跌幅達33.31%﹝第一款﹞。,111.01.17,27.90     ,-----     
8,047934,光磊凱基16購01,4,最近六個營業日累積收盤價跌幅達33.31%﹝第一款﹞。,111.01.14,27.90     ,-----     
9,04840P,台勝科中信1A售04,3,最近六個營業日累積收盤價跌幅達33.08%﹝第一款﹞。,111.08.22,2.39      ,-----     
9,04840P,台勝科中信1A售04,3,最近六個營業日累積收盤價跌幅達39.76%﹝第一款﹞。,111.08.17,2.54      ,-----     
9,04840P,台勝科中信1A售04,3,最近六個營業日累積收盤價跌幅達39.51%﹝第一款﹞。,111.08.16,2.90      ,-----     
