日期,項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
20250915,融資(交易單位),"278,893","275,637","8,446","7,267,460","7,262,270"
20250915,融券(交易單位),"22,440","25,588","6,412","297,663","294,399"
20250915,融資金額(仟元),"12,797,347","13,957,025","244,529","265,614,872","264,210,665"
20250916,融資(交易單位),"284,329","266,538","5,370","7,262,258","7,274,679"
20250916,融券(交易單位),"21,383","31,405","5,809","294,399","298,612"
20250916,融資金額(仟元),"14,050,642","12,003,436","401,181","264,210,665","265,856,690"
20250917,融資(交易單位),"277,624","308,871","3,364","7,274,671","7,240,060"
20250917,融券(交易單位),"16,633","41,172","3,822","298,612","319,329"
20250917,融資金額(仟元),"12,719,220","13,551,712","154,968","265,856,690","264,869,230"
20250918,融資(交易單位),"345,714","316,721","16,932","7,240,062","7,252,123"
20250918,融券(交易單位),"21,344","39,122","3,467","319,329","333,640"
20250918,融資金額(仟元),"15,992,474","13,617,491","435,684","264,869,284","266,808,583"
20250919,融資(交易單位),"330,287","326,369","10,566","7,252,117","7,245,469"
20250919,融券(交易單位),"27,946","33,871","3,381","333,641","336,185"
20250919,融資金額(仟元),"17,343,263","14,891,199","425,868","266,808,583","268,834,779"
20250922,融資(交易單位),"344,113","290,042","8,705","7,245,463","7,290,829"
20250922,融券(交易單位),"32,515","23,151","11,150","336,185","315,671"
20250922,融資金額(仟元),"18,679,028","14,801,713","253,705","268,834,779","272,458,389"
20250923,融資(交易單位),"369,424","322,062","7,951","7,290,823","7,330,234"
20250923,融券(交易單位),"33,791","34,476","3,142","315,671","313,214"
20250923,融資金額(仟元),"18,216,401","17,452,063","421,413","272,458,389","272,801,313"
20250924,融資(交易單位),"301,923","315,188","5,399","7,330,231","7,311,567"
20250924,融券(交易單位),"22,892","28,290","1,129","313,214","317,483"
20250924,融資金額(仟元),"17,324,769","15,295,911","179,445","272,801,313","274,650,726"
20250925,融資(交易單位),"359,096","360,668","8,207","7,311,564","7,301,785"
20250925,融券(交易單位),"21,117","37,728","2,313","317,483","331,781"
20250925,融資金額(仟元),"16,965,884","15,962,400","389,005","274,650,726","275,265,205"
20250926,融資(交易單位),"294,814","346,080","14,026","7,301,780","7,236,488"
20250926,融券(交易單位),"42,661","22,727","7,994","331,781","303,853"
20250926,融資金額(仟元),"14,721,807","17,932,234","507,327","275,265,205","271,547,451"
20250930,融資(交易單位),"257,661","213,569","6,975","7,235,577","7,272,694"
20250930,融券(交易單位),"22,654","23,856","1,699","303,853","303,356"
20250930,融資金額(仟元),"15,474,983","11,219,333","373,335","271,547,444","275,429,759"
