day1,day2,day1_open,day1_close,day2_open,day2_close,oc_gap,oc_gap_size
2025-08-04,2025-08-05,50.65,50.8,51.25,51.45,50.80~51.25,0.45
2025-08-06,2025-08-07,51.1,51.0,51.65,52.45,51.10~51.65,0.55
2025-08-19,2025-08-20,53.3,53.2,52.55,51.7,52.55~53.20,-0.65
2025-08-22,2025-08-25,52.05,51.75,52.45,52.7,52.05~52.45,0.4
2025-08-26,2025-08-27,52.55,52.75,53.0,53.0,52.75~53.00,0.25
2025-08-29,2025-09-01,52.8,52.5,52.15,52.0,52.15~52.50,-0.35
2025-09-03,2025-09-04,51.9,51.95,52.55,52.3,51.95~52.30,0.35
2025-09-05,2025-09-08,52.7,52.85,53.4,53.35,52.85~53.35,0.5
2025-09-09,2025-09-10,53.55,53.9,54.4,54.95,53.90~54.40,0.5
2025-09-10,2025-09-11,54.4,54.95,55.55,55.45,54.95~55.45,0.5
2025-09-15,2025-09-16,56.0,56.0,56.15,56.75,56.00~56.15,0.15
2025-09-22,2025-09-23,57.0,57.4,57.85,58.45,57.40~57.85,0.45
2025-09-25,2025-09-26,58.35,58.2,57.9,57.25,57.90~58.20,-0.3
2025-10-01,2025-10-02,57.9,58.1,59.0,59.2,58.10~59.00,0.9
