date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險)
2025-07-28,00687B,19020523,496372384,25.79,25.85,25.78,25.82,0.030000000000001137,,,,,,,,,,1636000,0,0,-10000,275780
2025-07-29,00687B,38880316,1018369080,25.87,25.97,25.85,25.94,0.07000000000000028,,,,,,,,,,13881020,0,0,0,-8552475
2025-07-30,00687B,47394349,1259966987,26.25,26.35,26.24,26.32,0.07000000000000028,,,,,,,,,,14887000,0,0,-240000,-2324406
2025-07-31,00687B,44148445,1178801884,26.28,26.47,26.28,26.46,0.17999999999999972,,,,,,,,,,19619000,0,0,-50000,-3859480
2025-08-01,00687B,28724900,767006868,26.42,26.5,26.37,26.39,-0.030000000000001137,35633706.6,,,26.186,,,0.007790422363094808,,,2813022,0,0,10000,-2719128
2025-08-04,00687B,49938807,1336519997,26.52,26.56,26.43,26.49,-0.030000000000001137,41817363.4,,,26.320000000000004,,,0.006458966565349338,,,-2065000,0,0,129000,20686929
2025-08-05,00687B,36264949,983805582,26.78,26.87,26.78,26.82,0.03999999999999915,41294290.0,,,26.496,,,0.012228260869565279,,,5801000,0,-850000,-21000,231549
2025-08-06,00687B,25209082,684634837,26.84,26.89,26.83,26.87,0.030000000000001137,36857236.6,,,26.606,,,0.009922573855521286,,,746000,0,-1900000,10000,-4824656
2025-08-07,00687B,45980990,1238595525,26.78,26.78,26.57,26.63,-0.15000000000000213,37223745.6,,,26.639999999999997,,,-0.0003753753753753007,,,-10032752,0,0,1111000,-408254
2025-08-08,00687B,17717006,477716534,26.65,26.7,26.63,26.7,0.05000000000000071,35022166.8,35327936.7,,26.701999999999998,26.444,,-7.490075649759912e-05,0.009680834972016345,,509000,0,-2700000,0,-3722597
2025-08-11,00687B,15712760,422852358,26.61,26.64,26.59,26.63,0.019999999999999574,28176957.4,34997160.4,,26.73,26.525,,-0.0037411148522260166,0.003958529688972683,,-2576000,0,0,0,145863
2025-08-12,00687B,13708536,369068959,26.64,26.66,26.6,26.66,0.019999999999999574,23665674.8,32479982.4,,26.698,26.597,,-0.0014233275900816637,0.0023686881979170142,,-1613000,0,0,0,-89535
2025-08-13,00687B,26310487,706216724,26.52,26.62,26.48,26.6,0.08000000000000185,23885955.8,30371596.2,,26.644,26.625,,-0.0016514036931390532,-0.0009389671361501814,,-6601089,0,0,99000,-2218575
2025-08-14,00687B,23670764,640116804,26.76,26.78,26.72,26.73,-0.030000000000001137,19423910.6,28323828.1,,26.663999999999998,26.651999999999997,,0.0024752475247525694,0.002926609635299526,,-4571000,0,0,10000,-1840312
2025-08-15,00687B,20368726,549481258,26.69,26.72,26.66,26.7,0.00999999999999801,19954254.6,27488210.7,,26.663999999999998,26.683,,0.0013501350135014013,0.000637109770265692,,-2112976,0,-800000,-1265000,1785318
2025-08-18,00687B,26333516,705058929,26.49,26.51,26.47,26.48,-0.00999999999999801,22078405.8,25127681.6,,26.634000000000004,26.682,,-0.005782083051738509,-0.007570646878045056,,-11594729,0,-1300000,550000,389465
2025-08-19,00687B,18409556,491671418,26.42,26.46,26.41,26.41,-0.010000000000001563,23018609.8,23342142.3,,26.583999999999996,26.641,,-0.006545290400240595,-0.008670845688975568,,-4962771,0,-938000,40000,-1268522
2025-08-20,00687B,39162801,1055554105,26.58,26.72,26.58,26.65,0.07000000000000028,25589072.6,24737514.2,,26.594,26.619,,0.0021057381364216507,0.0011645816897704199,,-10810750,0,0,5000000,11768632
2025-08-21,00687B,21054270,571951899,26.75,26.96,26.75,26.93,0.17999999999999972,25065773.8,22244842.2,,26.633999999999997,26.649,,0.011113614177367385,0.01054448572179064,,6029538,0,0,10000,1644404
2025-08-22,00687B,29234348,797106038,26.92,27.06,26.89,26.95,0.029999999999997584,26838898.2,23396576.4,29362256.55,26.683999999999997,26.674,26.558999999999997,0.009968520461699963,0.010347154532503554,0.014721939832072059,2629300,0,-700000,-201000,3325922
2025-08-25,00687B,24568727,669023724,26.97,27.01,26.9,26.92,-0.04999999999999716,26485940.4,24282173.1,29639666.75,26.772000000000002,26.703000000000003,26.613999999999997,0.005528163753174947,0.008126427742201204,0.011497707973247333,-1993642,0,0,-364000,-1170636
