day1,day2,day1_open,day1_close,day2_open,day2_close,oc_gap,oc_gap_size
2025-08-06,2025-08-07,26.84,26.87,26.78,26.63,26.78~26.84,-0.06
2025-08-13,2025-08-14,26.52,26.6,26.76,26.73,26.60~26.73,0.13
2025-08-15,2025-08-18,26.69,26.7,26.49,26.48,26.49~26.69,-0.2
2025-08-18,2025-08-19,26.49,26.48,26.42,26.41,26.42~26.48,-0.06
2025-08-19,2025-08-20,26.42,26.41,26.58,26.65,26.42~26.58,0.16
2025-08-20,2025-08-21,26.58,26.65,26.75,26.93,26.65~26.75,0.1
2025-08-26,2025-08-27,26.81,26.8,26.93,26.93,26.81~26.93,0.12
2025-08-28,2025-08-29,26.98,26.99,27.08,27.06,26.99~27.06,0.07
2025-08-29,2025-09-01,27.08,27.06,26.92,26.91,26.92~27.06,-0.14
2025-09-03,2025-09-04,26.88,26.82,27.2,27.17,26.88~27.17,0.29
2025-09-04,2025-09-05,27.2,27.17,27.37,27.36,27.20~27.36,0.16
2025-09-05,2025-09-08,27.37,27.36,27.57,27.56,27.37~27.56,0.19
2025-09-08,2025-09-09,27.57,27.56,27.81,27.77,27.57~27.77,0.2
2025-09-09,2025-09-10,27.81,27.77,27.61,27.52,27.61~27.77,-0.16
2025-09-11,2025-09-12,27.68,27.79,27.91,27.85,27.79~27.85,0.06
2025-09-18,2025-09-19,27.7,27.77,27.51,27.46,27.51~27.70,-0.19
2025-09-23,2025-09-24,27.44,27.45,27.68,27.74,27.45~27.68,0.23
2025-09-26,2025-09-30,27.73,27.68,27.88,27.9,27.73~27.88,0.15
2025-09-30,2025-10-01,27.88,27.9,27.77,27.81,27.81~27.88,-0.07
