day1,day2,day1_open,day1_close,day2_open,day2_close,oc_gap,oc_gap_size
2025-07-15,2025-07-16,22618.43,22835.94,22967.51,23042.9,22835.94~22967.51,131.57
2025-07-17,2025-07-18,23042.97,23113.28,23345.72,23383.13,23113.28~23345.72,232.44
2025-08-04,2025-08-05,23260.18,23378.94,23498.4,23660.59,23378.94~23498.40,119.46
2025-08-06,2025-08-07,23443.36,23447.36,23717.35,24003.77,23447.36~23717.35,269.99
2025-08-19,2025-08-20,24493.92,24353.5,24309.27,23625.44,24309.27~24353.50,-44.23
2025-08-22,2025-08-25,24033.02,23764.47,24108.81,24277.38,24033.02~24108.81,75.79
2025-08-26,2025-08-27,24237.36,24305.1,24449.81,24519.9,24305.10~24449.81,144.71
2025-09-03,2025-09-04,24036.88,24100.3,24235.27,24179.85,24100.30~24179.85,79.55
2025-09-05,2025-09-08,24244.26,24494.58,24610.85,24547.38,24494.58~24547.38,52.8
2025-09-09,2025-09-10,24650.46,24855.18,25032.88,25192.59,24855.18~25032.88,177.7
