date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,net_buy_dealer_hedging,net_buy_dealer_self,net_buy_foreign_dealer_self,net_buy_foreign_investor,net_buy_investment_trust,total_net_buy
2025-07-21,TAIEX,5279612934,316345580296,23314.29,23403.83,23243.79,23340.56,26.270000000000437,,,,,,,,,,1810452250,275771639,0,4129645295,-2887288583,3328580601
2025-07-22,TAIEX,6889507061,449009636028,23301.66,23486.08,22985.9,22987.92,-313.7400000000016,,,,,,,,,,4541583822,-245292697,0,10024486454,-2521022464,11799755115
2025-07-23,TAIEX,6238239859,360908872117,23063.57,23318.67,23063.57,23318.67,255.09999999999854,,,,,,,,,,5862569002,4853666113,0,8431688850,-1192160484,17955763481
2025-07-24,TAIEX,6322628546,348331144582,23373.67,23455.09,23295.31,23373.73,0.06000000000130967,,,,,,,,,,1911770536,1400866874,0,10152845989,-755461310,12710022089
2025-07-25,TAIEX,5964609783,302559239716,23454.59,23485.56,23308.45,23364.38,-90.20999999999913,6138919636.6,,,23277.052,,,0.003751677832742795,,,2181748453,-1094508289,0,7361205242,2031030521,10479475927
2025-07-28,TAIEX,5994460798,323398574763,23477.1,23564.44,23350.73,23412.98,-64.11999999999898,6281889209.4,,,23291.536,,,0.005214082918361396,,,4294125553,1030527146,0,4675390630,3448784246,13448827575
2025-07-29,TAIEX,6685041420,390574563588,23414.36,23422.17,23094.67,23201.52,-212.84000000000015,6240996081.2,,,23334.256,,,-0.005688460776293908,,,5171985163,1396835740,0,-16533219311,3837859356,-6126539052
2025-07-30,TAIEX,6095108673,336226659269,23288.72,23461.72,23264.64,23461.72,173.0,6212369844.0,,,23362.866,,,0.004231244574188772,,,4056939563,1316827555,0,14112204090,1437205201,20923176409
2025-07-31,TAIEX,7079439551,412096428336,23523.59,23631.11,23454.44,23542.52,18.93000000000029,6363732045.0,,,23396.624000000003,,,0.006235771451470818,,,5602641455,2796495944,0,9388571808,17825528,17805534735
2025-08-01,TAIEX,6950284768,404788588802,23318.37,23484.21,23168.27,23434.38,116.01000000000204,6560867042.0,6349893339.3,,23410.624000000003,23343.838,,0.0010147529600235167,0.003878625271474266,,-589718990,961593581,0,-7033238508,800724259,-5860639658
2025-08-04,TAIEX,6547254437,339596557905,23260.18,23378.94,23151.65,23378.94,118.7599999999984,6671425769.8,6476657489.6,,23403.816000000003,23347.676,,-0.0010629035880304236,0.0013390626116277788,,-6117662530,-3734917423,0,11303634679,2305202788,3756257514
2025-08-05,TAIEX,6610002920,380074357026,23498.4,23671.84,23498.4,23660.59,162.1899999999987,6656418069.8,6448707075.5,,23495.63,23414.943,,0.007020880053014076,0.010491035575017238,,5282308866,-756873802,0,11487780180,3666838413,19680053657
