日期,股票代號,開盤價,收盤價,收盤-開盤,最高價,最低價,日振幅,漲跌幅(%),成交量,量增率(%),5日均量,5日最大量_日期,5日最大量,10日均量,10日最大量_日期,10日最大量,20日均量,20日最大量_日期,20日最大量,實體(漲跌率),上影(%),上影/實體,下影(%),下影/實體,跳空缺口,5日平均,10日平均,20日平均,5日上升幅度,10日上升幅度,20日上升幅度,5日扣抵值,5日扣抵影響(%),10日扣抵值,10日扣抵影響(%),20日扣抵值,20日扣抵影響(%),均線得分,均線方向,均線排列,均線距離(%),均線狀態,趨勢強度說明,趨勢等級,5日乖離,10日乖離,20日乖離,總成交金額(億),法人總買超(億),買超-外資(億),買超-投信(億),買超-自營商(億),買超-融資(億),資金走向,資金走向判讀
2025-08-04,TAIEX,23260.18,23378.94,118.7599999999984,23378.94,23151.65,227.28999999999724,,6547254437,,,,,,,,,,,0.0051057214518545595,0.0,0.0,0.004687786831608064,0.9138598854833302,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3395.96557905,37.56257514,113.03634679,23.05202788,-98.52579953,,,
2025-08-05,TAIEX,23498.4,23660.59,162.1899999999987,23671.84,23498.4,173.4399999999987,0.012047167236838003,6610002920,0.009583938367416162,,,,,,,,,,0.006902172062778687,0.0004752482274297224,0.06936309266909237,0.0,0.0,119.46000000000276,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3800.74357026,196.80053657,114.8778018,36.66838413,45.254350640000006,19.764430000000175,-54.374966570001476,偏重小型股(空)
2025-08-06,TAIEX,23443.36,23447.36,4.0,23557.49,23433.53,123.96000000000276,-0.009012032244335394,6009196963,-0.09089344804706985,,,,,,,,,,0.00017062400611516436,0.004674946269742702,27.532500000000255,0.0004194843883956769,2.4575000000004366,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3611.83155977,-114.97677168,-108.20572461,18.09040245,-24.86144952,6.492589999999836,112.48418168000016,偏重大型股(多)
2025-08-07,TAIEX,23717.35,24003.77,286.4200000000019,24050.54,23717.35,333.1900000000023,0.02373017687279079,7106666762,0.18263169035020363,,,,,,,,,,0.012076391333770507,0.0019446548809299265,0.16329166957614735,0.0,0.0,269.98999999999796,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,4673.80441728,498.74740763,432.39484056,11.16606178,55.18650529,14.787450000000263,-227.11485762999837,偏重小型股(空)
2025-08-08,TAIEX,24026.65,24021.26,-5.390000000003056,24131.46,23967.99,163.46999999999753,0.000728635543499957,7010275195,-0.013563541140751747,6656679255.4,2025-08-07,7106666762.0,,,,,,,-0.00022433422886682311,0.004343292946220315,19.445269016686133,0.0022225476562697495,9.883116883110686,,23702.384,,,,,,23378.94,0.026739646463174695,,,,,0,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.013453330264162467,,,4321.0996542,-38.25548099,-32.56238186,-18.61859628,12.92549715,10.990409999999883,21.875070989997063,偏重大型股(多)
2025-08-11,TAIEX,23980.39,24135.5,155.11000000000058,24249.05,23887.25,361.7999999999993,0.004755787165202891,7230198655,0.031371587260491274,6793268099.0,2025-08-11,7230198655.0,,,,,,,0.006468201726494047,0.004682657671125231,0.73206111791631,0.003899151220839545,0.600477080781375,,23853.696,,,151.31200000000172,,,23660.59,0.01967682459447701,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.011813850566386026,,,4372.10225957,0.17890746,-39.85502559,4.28896562,35.74496743,38.95580000000018,115.9752925400004,偏重大型股(多)
2025-08-12,TAIEX,24182.84,24158.36,-24.479999999999563,24263.92,24065.43,198.48999999999796,0.0009471525346481565,7513604403,0.039197505009632407,6973988395.6,2025-08-12,7513604403.0,,,,,,,-0.0010122880521890548,0.0033415870147939044,3.3120915032679554,0.0038615557669237693,3.796160130719034,,23953.25,,,99.55400000000009,,,23447.36,0.029430805733501778,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.00856292987381673,,,4307.4766319,-53.14078018,-57.31106152,-0.61610845,4.786389789999999,7.568939999999657,21.09184018000078,偏重大型股(多)
2025-08-13,TAIEX,24232.04,24370.02,137.97999999999956,24406.94,24172.19,234.75,0.008761356317233448,8864976375,0.17985668389201193,7545144278.0,2025-08-13,8864976375.0,,,,,,,0.005694114073763478,0.0015126845069475426,0.26757501087112895,0.002475985833306878,0.43375851572693414,,24137.782,,,184.53199999999924,,,24003.77,0.01502871150700738,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.009621347976379984,,,5738.73489672,84.1123461,70.36580411,-15.02399863,28.77054062,-8.825129999999717,62.692783899999284,偏重大型股(多)
2025-08-14,TAIEX,24258.5,24238.1,-20.400000000001455,24389.51,24198.88,190.62999999999738,-0.005413208524244211,7941972349,-0.10411804690229645,7712205395.4,2025-08-13,8864976375.0,,,,,,,-0.0008409423501041472,0.005371571630590299,6.422058823528875,0.0016207361663018091,1.9225490196075847,,24184.647999999997,,,46.86599999999817,,,24021.26,0.00894624578659219,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.0022101624137759266,,,4866.03622585,-26.21008838,-44.60109509,-20.45083709,38.8418438,26.534059999999954,-20.72397162000141,偏重小型股(空)
2025-08-15,TAIEX,24266.23,24334.48,68.25,24385.56,24164.43,221.13000000000102,0.0039763842875473335,7913302231,-0.0036099493602001712,7892810802.6,2025-08-13,8864976375.0,7274745029.0,2025-08-13,8864976375.0,,,,0.0028125506104574134,0.002094682262781816,0.748424908424934,0.004212803695348878,1.491575091575081,,24247.291999999998,23974.838,,62.64400000000023,,,24135.5,0.008176874952741935,23378.94,0.039266916737074345,,,1,糾結,糾結,1.1299957094387905,正常,❓ 趨勢不明,0.0,0.0035957829847556556,0.015000810433004795,,4542.17776031,45.92053654,53.73846115,-33.56859132,25.750666709999997,32.86270999999988,-10.53324653999988,偏重小型股(空)
