日期,股票代號,開盤價,收盤價,收盤-開盤,最高價,最低價,日振幅,漲跌幅(%),成交量,量增率(%),5日均量,5日最大量_日期,5日最大量,10日均量,10日最大量_日期,10日最大量,20日均量,20日最大量_日期,20日最大量,實體(漲跌率),上影(%),下影(%),上影/實體,下影/實體,跳空缺口,5日平均,10日平均,20日平均,5日上升幅度,10日上升幅度,20日上升幅度,5日扣抵值,5日扣抵影響(%),10日扣抵值,10日扣抵影響(%),20日扣抵值,20日扣抵影響(%),均線得分,均線方向,均線排列,均線距離(%),均線狀態,趨勢強度說明,趨勢等級,5日乖離,10日乖離,20日乖離,總成交金額(億),法人總買超(億),買超-外資(億),買超-投信(億),買超-自營商(億),買超-融資(億),資金走向,資金走向判讀
2025-09-03,TAIEX,24036.88,24100.3,63.419999999998254,24103.23,23925.49,177.73999999999796,,6215237843,,,,,,,,,,,0.002638445588612093,0.00012156047135592579,0.004655704021108843,,,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3751.54827165,99.82870499,81.99762036,-6.37699825,24.20808288,,,
2025-09-04,TAIEX,24235.27,24179.85,-55.42000000000189,24389.35,24168.16,221.1899999999987,0.003300788786861544,7455297262,0.1995192220031667,,,,,,,,,,-0.002286749848464733,0.0063175115367977465,0.00048369424896221684,,,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,4505.47881333,116.33833868,118.08136125,-15.45453579,13.71151322,5.087550000000192,-176.84588868000208,偏重小型股(空)
2025-09-05,TAIEX,24244.26,24494.58,250.32000000000335,24494.58,24244.26,250.32000000000335,0.013016209777976424,6973379276,-0.06464101551743062,,,,,,,,,,0.010324918145573566,0.0,0.0,,,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,4265.69974111,330.24810722,282.81116909,-4.33975608,51.77669421,29.403260000000046,-109.33136721999671,偏重小型股(空)
2025-09-08,TAIEX,24610.85,24547.38,-63.469999999997526,24729.96,24547.38,182.5799999999981,0.0021555789076603588,7768998687,0.11409381011846745,,,,,,,,,,-0.00257894383981039,0.004816425097331357,0.0,,,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,4431.85374596,159.96611405,146.18525216,-12.20126071,25.9821226,20.284589999999753,-243.72070404999727,偏重小型股(空)
2025-09-09,TAIEX,24650.46,24855.18,204.72000000000116,24880.07,24650.46,229.61000000000058,0.01253901638382586,8091742979,0.04154258547373082,7300931209.4,2025-09-09,8091742979.0,,,,,,,0.008304916013737722,0.0010003991146326928,0.0,,,,24435.458000000002,,,,,,24100.3,0.030371133904481925,,,,,0,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.017176760100015228,,,5125.34389842,385.26893843,356.53694959,-17.82067231,46.55266115,10.265940000000228,-190.81487842999906,偏重小型股(空)
2025-09-10,TAIEX,25032.88,25192.59,159.70999999999913,25272.23,25032.88,239.34999999999854,0.013575037477097323,8693632992,0.07438323418848669,7796610239.2,2025-09-10,8693632992.0,,,,,,,0.0063800090121471885,0.003151285027083064,0.0,,,,24653.916,,,218.45799999999872,,,24179.85,0.04019991592765974,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.021849429518620858,,,5404.70187649,576.74044343,489.47944283,-27.2738524,114.534853,24.260310000000118,-441.290753430001,偏重小型股(空)
2025-09-11,TAIEX,25509.3,25215.71,-293.59000000000015,25541.44,25174.13,367.3099999999977,0.0009177301738328207,9553641157,0.09892390969246014,8216279018.2,2025-09-11,9553641157.0,,,,,,,-0.011509135883775726,0.001258347219264044,0.0016516956097389704,,,,24861.088,,,207.17199999999866,,,24494.58,0.0285984412098647,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.014264138399735338,,,6094.94103234,285.01291028,329.99661731,-62.71656501,17.73285798,-41.08273000000008,-537.5201802800001,偏重小型股(空)
2025-09-12,TAIEX,25349.7,25474.64,124.93999999999869,25492.28,25349.7,142.5799999999981,0.01026859842534675,7830621434,-0.1803521500006869,8387727449.8,2025-09-11,9553641157.0,,,,,,,0.0049286579328354455,0.0006919741976786469,0.0,,,,25057.1,,,196.0119999999988,,,24547.38,0.03639933675215816,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.01666354047355843,,,4950.51339127,256.70421666,265.38500007,-58.10072034,49.41993693,-2.3989999999998872,-129.3652166600014,偏重小型股(空)
2025-09-15,TAIEX,25494.1,25357.16,-136.9399999999987,25519.94,25284.17,235.77000000000044,-0.004611645149843121,6958333955,-0.11139441311932026,8225594503.4,2025-09-11,9553641157.0,,,,,,,-0.005371438881937338,0.0010125415655366018,0.002886786475490459,,,,25219.056,,,161.95600000000195,,,24855.18,0.01979638098272833,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.005476176427856751,,,4078.91369036,-47.03837224,25.46248589,-82.46829092,9.96743279,-14.042320000000018,-75.85930775999867,偏重小型股(空)
2025-09-16,TAIEX,25335.46,25629.64,294.1800000000003,25664.81,25335.46,329.3500000000022,0.010745682876158038,7560459055,0.08653294077202708,8119337718.6,2025-09-11,9553641157.0,7710134464.0,2025-09-11,9553641157.0,,,,0.011611393675109917,0.0013703588688169478,0.0,,,,25373.948,24904.703,,154.89199999999983,,,25192.59,0.017052522001869682,24100.3,0.059670756202584205,,,1,糾結,糾結,1.8665775261154043,正常,❓ 趨勢不明,0.0,0.010076949791179485,0.029108437872156036,,4551.07630117,235.9128667,270.03531062,-45.13790695,11.015463030000001,16.460249999999633,41.80688330000066,偏重大型股(多)
2025-09-17,TAIEX,25543.91,25438.25,-105.65999999999985,25632.07,25422.96,209.11000000000058,-0.007467525880191818,7849906030,0.038284312221567876,7950592326.2,2025-09-11,9553641157.0,7873601282.7,2025-09-11,9553641157.0,,,,-0.0041364066816708895,0.003439441293660631,0.0006014248537542786,,,,25423.079999999998,25038.498,,49.13199999999779,133.79499999999825,,25215.71,0.008748243295038018,24179.85,0.04946881173036673,,,2,上揚,糾結,1.5242567325183471,正常,❓ 趨勢不明,0.0,0.0005967018944990888,0.015965494415839176,,4396.87060953,-116.34659183,-57.34012058,-53.14277279,-5.86369846,-9.874599999999646,20.561191829999785,偏重大型股(多)
2025-09-18,TAIEX,25543.17,25769.36,226.19000000000233,25769.36,25475.25,294.1100000000006,0.013016225565831006,8339290249,0.06234268501173383,7707722144.6,2025-09-18,8339290249.0,7962000581.4,2025-09-11,9553641157.0,,,,0.008855204737704927,0.0,0.002666117113669081,,,,25533.81,25197.449,,110.7300000000032,158.95100000000093,,25474.64,0.01143683816749819,24494.58,0.049468826544392205,,,2,上揚,糾結,1.3260502760241009,正常,❓ 趨勢不明,0.0,0.009225023605956152,0.022697178591372484,,4673.74300986,172.28408262,121.53720716,-49.87795065,100.62482610999999,19.393529999999828,34.51238738000251,偏重大型股(多)
2025-09-19,TAIEX,25794.66,25578.37,-216.29000000000087,25864.01,25578.37,285.6399999999994,-0.007411515070611051,9787714693,0.17368677678219518,8099140796.4,2025-09-19,9787714693.0,8243434123.1,2025-09-19,9787714693.0,,,,-0.008385068847583216,0.0026813320904221175,0.0,,,,25554.556,25305.828,,20.745999999999185,108.37900000000081,,25357.16,0.008648322782100624,24547.38,0.040307103228235344,,,2,上揚,糾結,0.9780814867618739,正常,❓ 趨勢不明,0.0,0.0009318886229132092,0.01076993015205816,,6196.94769912,-122.67657124,-157.45036443,-19.37327805,54.14707124,20.261959999999817,-113.87538876000069,偏重小型股(空)
2025-09-22,TAIEX,25599.6,25880.6,281.0,25887.69,25599.6,288.09000000000015,0.01181584283908629,7847993700,-0.19817915150175497,8277072745.4,2025-09-19,9787714693.0,8251333624.4,2025-09-19,9787714693.0,,,,0.01097673401146893,0.00027387534384103586,0.0,,,,25659.244,25439.15,,104.68799999999828,133.32200000000012,,25629.64,0.009696838558611436,24855.18,0.03962118343469619,,,2,上揚,糾結,0.861451731731519,正常,❓ 趨勢不明,0.0,0.00862675455286211,0.017353174143003875,,4820.61403631,-41.51157011,-66.50808558,-52.64117265,77.63768812,36.23610000000008,286.2754701099999,偏重大型股(多)
2025-09-23,TAIEX,26121.0,26247.37,126.36999999999898,26307.3,26041.69,265.6100000000006,0.014171618896007066,8950246446,0.14045025877123218,8555030223.6,2025-09-19,9787714693.0,8337183971.1,2025-09-19,9787714693.0,,,,0.004837869913096703,0.002278074906964998,0.0030455012712309114,,,,25782.79,25578.369,,123.5460000000021,139.21899999999732,,25438.25,0.03082670759013185,25192.59,0.040186121504745,,,2,上揚,糾結,0.7960139684542635,正常,❓ 趨勢不明,0.0,0.018018996392554804,0.026154951474818437,,5470.0484744,122.74599104,106.38719207,-15.69628564,32.05508461,3.429239999999936,0.19476895999903832,偏重大型股(多)
2025-09-24,TAIEX,26389.16,26196.73,-192.4300000000003,26394.03,26045.47,348.5599999999977,-0.0019293361582512617,7897848080,-0.1175831718544837,8564618633.6,2025-09-19,9787714693.0,8257605479.9,2025-09-19,9787714693.0,,,,-0.007292009294725572,0.00018451142171161362,0.0058075358210083515,,,,25934.485999999997,25678.783,,151.69599999999627,100.41400000000067,,25769.36,0.0163138681812577,25215.71,0.03744818532694731,,,2,上揚,糾結,0.9908421030258623,正常,❓ 趨勢不明,0.0,0.010111787062215247,0.020170231587688565,,5151.87636594,-145.65959202,-129.50186461,-85.66887088,69.51114347000001,18.49413000000004,-65.26453798000034,偏重小型股(空)
2025-09-25,TAIEX,26067.97,26023.85,-44.12000000000262,26247.85,26023.85,224.0,-0.006599296935151869,8846470892,0.1201115547413771,8666054762.2,2025-09-19,9787714693.0,8186888453.4,2025-09-19,9787714693.0,,,,-0.00169249849527994,0.0068531327327761085,0.0,,,,25985.384,25759.597,,50.89800000000105,80.81400000000212,,25578.37,0.01711814354909053,25474.64,0.021104102582823032,,,2,上揚,糾結,0.8726914017032749,正常,❓ 趨勢不明,0.0,0.0014802936912535274,0.010258429120610736,,5032.04151623,53.82828825,1.06720086,-17.41264243,70.17372982,6.144790000000285,-104.0930782500029,偏重小型股(空)
2025-09-26,TAIEX,25998.28,25580.32,-417.9599999999991,25998.28,25469.04,529.239999999998,-0.017043212284116257,8334201118,-0.05790668168741203,8375352047.2,2025-09-23,8950246446.0,8237246421.8,2025-09-19,9787714693.0,,,,-0.016076448134261158,0.0,0.004369226323410652,,,,25985.773999999998,25770.165,,0.3899999999994179,10.567999999999302,,25880.6,-0.01173871163456903,25357.16,0.008723893993507504,,,2,上揚,糾結,0.8331758795835845,正常,❓ 趨勢不明,0.0,-0.015602921814066341,-0.007366852327100007,,5000.52396638,-353.35558189,-251.57852509,-56.52013477,-45.25692203,-37.177540000000135,-27.426878109998995,偏重小型股(空)
2025-09-30,TAIEX,25738.31,25820.54,82.22999999999956,25975.84,25738.31,237.52999999999884,0.009390812937445706,6699602406,-0.19613142145917675,8145673788.4,2025-09-23,8950246446.0,8211373266.9,2025-09-19,9787714693.0,,,,0.0031948484574161845,0.005978632452309503,0.0,,,,25973.762,25816.502999999997,,-12.011999999998807,46.3379999999961,,26247.37,-0.01653063801144353,25629.64,0.007393338791520296,,,0,糾結,糾結,0.6072917371633524,正常,❓ 趨勢不明,0.0,-0.00589910695262388,0.0001563728441456188,,4552.96213373,132.42429356,65.50967708,6.96563422,59.94898226,38.82308000000012,-89.01737356000055,偏重小型股(空)
