date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險)
2025-07-28,TPEx,820491000,84458449000,232.92,234.16,232.02,233.45,0.5300000000000011,,,,,,,,,,13448827575,4675390630,0,3448784246,1030527146,4294125553
2025-07-29,TPEx,858041000,88716867000,233.39,233.81,230.8,231.16,-2.2299999999999898,,,,,,,,,,-6126539052,-16533219311,0,3837859356,1396835740,5171985163
2025-07-30,TPEx,908105000,86867112000,231.34,232.38,230.36,231.45,0.10999999999998522,,,,,,,,,,20923176409,14112204090,0,1437205201,1316827555,4056939563
2025-07-31,TPEx,1081393000,110193538000,231.56,232.91,231.56,232.0,0.4399999999999977,,,,,,,,,,17805534735,9388571808,0,17825528,2796495944,5602641455
2025-08-01,TPEx,1136282000,106919321000,231.39,234.03,228.4,234.03,2.640000000000015,960862400.0,,,232.41799999999998,,,0.006935779500727239,,,-5860639658,-7033238508,0,800724259,961593581,-589718990
2025-08-04,TPEx,1049052000,89902010000,233.75,233.95,231.78,233.87,0.12000000000000455,1006574600.0,,,232.502,,,0.00588382035423349,,,3756257514,11303634679,0,2305202788,-3734917423,-6117662530
2025-08-05,TPEx,1128122000,105691322000,234.24,237.38,234.24,237.03,2.789999999999992,1060590800.0,,,233.676,,,0.01435320700457049,,,19680053657,11487780180,0,3666838413,-756873802,5282308866
2025-08-06,TPEx,979946000,104183559000,236.97,237.23,236.05,236.05,-0.9199999999999875,1074959000.0,,,234.596,,,0.006197889137069718,,,-11497677168,-10820572461,0,1809040245,-966087319,-1520057633
2025-08-07,TPEx,1153876000,139318442000,236.45,240.12,236.45,239.54,3.0900000000000034,1089455600.0,,,236.10399999999998,,,0.01455290888760888,,,49874740763,43239484056,0,1116606178,441533492,5077117037
2025-08-08,TPEx,1218944000,138994829000,239.59,241.29,239.59,239.79,0.19999999999998863,1105988000.0,1033425200.0,,237.256,234.837,,0.01068044643760323,0.02109122497732471,,-3825548099,-3256238186,0,-1861859628,-164152695,1456702410
2025-08-11,TPEx,1181815000,125030600000,239.81,240.3,238.79,240.2,0.38999999999998636,1132540600.0,1069557600.0,,238.522,235.51200000000003,,0.007034990483058156,0.019905567444546177,,17890746,-3985502559,0,428896562,2291157112,1283339631
2025-08-12,TPEx,1419853000,148191660000,240.32,242.47,240.32,242.36,2.0400000000000205,1190886800.0,1125738800.0,,239.58800000000002,236.63199999999998,,0.011569861595739316,0.024206362622130724,,-5314078018,-5731106152,0,-61610845,34046489,444592490
2025-08-13,TPEx,1675571000,177993728000,242.77,246.09,242.13,243.33,0.5600000000000023,1330011800.0,1202485400.0,,241.044,237.82,,0.00948374570617813,0.023168783113279034,,8411234610,7036580411,0,-1502399863,-46578231,2923632293
2025-08-14,TPEx,1282870000,147721275000,243.65,245.94,243.65,245.53,1.8799999999999955,1355810600.0,1222633100.0,,242.24200000000002,239.173,,0.01357320365584821,0.02657908710431361,,-2621008838,-4460109509,0,-2045083709,1450404712,2433779668
2025-08-15,TPEx,1381077000,166694851000,245.68,246.63,244.35,246.07,0.38999999999998636,1388237200.0,1247112600.0,,243.498,240.377,,0.010562715094169162,0.023683630297407752,,4592053654,5373846115,0,-3356859132,1867986315,707080356
