date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,net_buy_dealer_hedging,net_buy_dealer_self,net_buy_foreign_dealer_self,net_buy_foreign_investor,net_buy_investment_trust,total_net_buy
2025-07-18,TAIEX,6130525974,381297826285,23345.72,23468.21,23276.02,23383.13,269.85,2310585,6007832761,1509055597,0,31007550251,3375993489,41900432098
2025-07-21,TAIEX,5279612934,316345580296,23314.29,23403.83,23243.79,23340.56,-42.57,2190361,1810452250,275771639,0,4129645295,-2887288583,3328580601
2025-07-22,TAIEX,6889507061,449009636028,23301.66,23486.08,22985.9,22987.92,-352.64,3001519,4541583822,-245292697,0,10024486454,-2521022464,11799755115
2025-07-23,TAIEX,6238239859,360908872117,23063.57,23318.67,23063.57,23318.67,330.75,2365878,5862569002,4853666113,0,8431688850,-1192160484,17955763481
2025-07-24,TAIEX,6322628546,348331144582,23373.67,23455.09,23295.31,23373.73,55.06,2411078,1911770536,1400866874,0,10152845989,-755461310,12710022089
2025-07-25,TAIEX,5964609783,302559239716,23454.59,23485.56,23308.45,23364.38,-9.35,2167929,2181748453,-1094508289,0,7361205242,2031030521,10479475927
2025-07-28,TAIEX,5994460798,323398574763,23477.1,23564.44,23350.73,23412.98,48.6,2298780,4294125553,1030527146,0,4675390630,3448784246,13448827575
2025-07-29,TAIEX,6685041420,390574563588,23414.36,23422.17,23094.67,23201.52,-211.46,2733427,5171985163,1396835740,0,-16533219311,3837859356,-6126539052
2025-07-30,TAIEX,6095108673,336226659269,23288.72,23461.72,23264.64,23461.72,260.2,2365399,4056939563,1316827555,0,14112204090,1437205201,20923176409
2025-07-31,TAIEX,7079439551,412096428336,23523.59,23631.11,23454.44,23542.52,80.8,2784711,5602641455,2796495944,0,9388571808,17825528,17805534735
2025-08-01,TAIEX,6950284768,404788588802,23318.37,23484.21,23168.27,23434.38,-108.14,2763182,-589718990,961593581,0,-7033238508,800724259,-5860639658
2025-08-04,TAIEX,6547254437,339596557905,23260.18,23378.94,23151.65,23378.94,-55.44,2625345,-6117662530,-3734917423,0,11303634679,2305202788,3756257514
2025-08-05,TAIEX,6610002920,380074357026,23498.4,23671.84,23498.4,23660.59,281.65,2692247,5282308866,-756873802,0,11487780180,3666838413,19680053657
2025-08-06,TAIEX,6009196963,361183155977,23443.36,23557.49,23433.53,23447.36,-213.23,2656062,-1520057633,-966087319,0,-10820572461,1809040245,-11497677168
2025-08-07,TAIEX,7106666762,467380441728,23717.35,24050.54,23717.35,24003.77,556.41,3040546,5077117037,441533492,0,43239484056,1116606178,49874740763
2025-08-08,TAIEX,7010275195,432109965420,24026.65,24131.46,23967.99,24021.26,17.49,2993172,1456702410,-164152695,0,-3256238186,-1861859628,-3825548099
2025-08-11,TAIEX,7230198655,437210225957,23980.39,24249.05,23887.25,24135.5,114.24,3128381,1283339631,2291157112,0,-3985502559,428896562,17890746
2025-08-12,TAIEX,7513604403,430747663190,24182.84,24263.92,24065.43,24158.36,22.86,3084639,444592490,34046489,0,-5731106152,-61610845,-5314078018
2025-08-13,TAIEX,8864976375,573873489672,24232.04,24406.94,24172.19,24370.02,211.66,3774478,2923632293,-46578231,0,7036580411,-1502399863,8411234610
2025-08-14,TAIEX,7941972349,486603622585,24258.5,24389.51,24198.88,24238.1,-131.92,3315382,2433779668,1450404712,0,-4460109509,-2045083709,-2621008838
2025-08-15,TAIEX,7913302231,454217776031,24266.23,24385.56,24164.43,24334.48,96.38,3456133,707080356,1867986315,0,5373846115,-3356859132,4592053654
2025-08-18,TAIEX,8459665044,457868280041,24272.55,24515.65,24257.3,24482.52,148.04,3623467,-977775276,985643242,0,4638950093,1731672993,6378491052
2025-08-19,TAIEX,8279842992,477889208524,24493.92,24551.42,24324.29,24353.5,-129.02,3599780,-4415298242,-1693738617,0,-11007665546,-1642414216,-18759116621
2025-08-20,TAIEX,8611743600,572237896405,24309.27,24309.27,23620.24,23625.44,-728.06,4440609,-5540196143,1915367105,0,-62668571933,-2734736666,-69028137637
2025-08-21,TAIEX,6990398614,420673855060,23739.83,24011.5,23739.83,23962.13,336.69,2970148,1307298361,1099230232,0,-10078910548,1604056355,-6068325600
2025-08-22,TAIEX,6571719689,369732364563,24033.02,24071.65,23764.47,23764.47,-197.66,2924150,-453809804,-573635339,0,-16397993687,-1163084639,-18588523469
2025-08-25,TAIEX,7201907890,431825644540,24108.81,24362.02,24108.75,24277.38,512.91,3018636,4349395688,1384604238,0,24114791914,3231606250,33080398090
2025-08-26,TAIEX,8259451660,532063118603,24237.36,24382.42,24113.03,24305.1,27.72,3221950,2988533201,335292654,0,-14508100864,-2425226828,-13609501837
2025-08-27,TAIEX,7675360712,467302614203,24449.81,24539.88,24410.08,24519.9,214.8,3273312,8249447023,2815259360,0,-1947570889,-1647591422,7469544072
2025-08-28,TAIEX,7619400963,449197099212,24468.12,24502.37,24236.45,24236.45,-283.45,3361480,-1111771071,-237115928,0,-9520531049,-2760035692,-13629453740
2025-08-29,TAIEX,7716714041,478348167874,24438.03,24570.15,24233.1,24233.1,-3.35,3386334,-109418480,443164972,0,-8635002338,-335109173,-8636365019
2025-09-01,TAIEX,7882519521,522538354934,24143.37,24312.83,23885.41,24071.73,-161.37,3994537,-8115680864,-2751433877,0,-7666900296,-3059842787,-21593857824
2025-09-02,TAIEX,6868073676,420249878093,24113.9,24295.03,23890.33,24016.78,-54.95,3133277,490890927,-1077548032,0,7786239530,-6102683470,1096898955
2025-09-03,TAIEX,6215237843,375154827165,24036.88,24103.23,23925.49,24100.3,83.52,2825606,1826384013,594424275,0,8199762036,-637699825,9982870499
2025-09-04,TAIEX,7455297262,450547881333,24235.27,24389.35,24168.16,24179.85,79.55,3277050,1592647455,-221496133,0,11808136125,-1545453579,11633833868
2025-09-05,TAIEX,6973379276,426569974111,24244.26,24494.58,24244.26,24494.58,314.73,3089868,3187265877,1990403544,0,28281116909,-433975608,33024810722
2025-09-08,TAIEX,7768998687,443185374596,24610.85,24729.96,24547.38,24547.38,52.8,3241448,2450189490,148022770,0,14618525216,-1220126071,15996611405
2025-09-09,TAIEX,8091742979,512534389842,24650.46,24880.07,24650.46,24855.18,307.8,3429591,5248567415,-593301300,0,35653694959,-1782067231,38526893843
