date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-08-04,006201,122458,2492907,20.4,20.43,20.25,20.28,-0.13,62
2025-08-05,006201,90323,1861510,20.42,20.69,20.42,20.65,0.37,65
2025-08-06,006201,87049,1791554,20.46,20.65,20.46,20.59,-0.06,51
2025-08-07,006201,175060,3680135,20.59,21.15,20.59,21.11,0.52,109
2025-08-08,006201,51132,1089368,21.23,21.31,21.22,21.28,0.17,51
2025-08-11,006201,72484,1543848,21.31,21.4,21.22,21.38,0.1,57
2025-08-12,006201,133293,2870377,21.4,21.65,21.4,21.55,0.17,83
2025-08-13,006201,189738,4149964,22.5,22.5,21.65,21.71,0.16,155
2025-08-14,006201,141939,3107753,21.85,22.0,21.74,21.91,0.2,127
2025-08-15,006201,71175,1557166,21.92,21.98,21.71,21.97,0.06,52
2025-08-18,006201,137521,3055516,22.0,22.27,22.0,22.26,0.29,84
2025-08-19,006201,147013,3274035,22.28,22.4,22.16,22.21,-0.05,77
2025-08-20,006201,221801,4821287,22.25,22.25,21.55,21.58,-0.63,170
2025-08-21,006201,155968,3427033,21.85,22.08,21.85,21.97,0.39,64
2025-08-22,006201,48492,1062671,21.9,22.0,21.78,21.78,-0.19,26
2025-08-25,006201,78569,1740806,21.8,22.24,21.8,22.0,0.22,80
2025-08-26,006201,211465,4702280,22.04,22.38,22.02,22.38,0.38,91
2025-08-27,006201,171181,3888213,22.5,22.9,22.5,22.81,0.43,121
2025-08-28,006201,145821,3329019,22.82,22.94,22.79,22.79,-0.02,88
2025-08-29,006201,130760,3006607,22.85,23.08,22.85,23.03,0.24,68
2025-09-01,006201,177759,4070690,22.75,23.2,22.7,22.85,-0.18,118
2025-09-02,006201,143964,3279210,23.04,23.04,22.5,22.71,-0.14,93
2025-09-03,006201,88341,2015387,22.7,22.86,22.7,22.8,0.09,79
2025-09-04,006201,162404,3747846,22.95,23.16,22.95,23.01,0.21,83
2025-09-05,006201,103211,2410564,23.45,23.48,23.27,23.48,0.47,72
2025-09-08,006201,82971,1960291,23.86,23.86,23.52,23.61,0.13,77
2025-09-09,006201,213373,5027537,23.68,23.68,23.46,23.46,-0.15,117
2025-09-10,006201,202678,4794645,23.7,23.74,23.51,23.51,0.05,135
2025-09-11,006201,199821,4687653,23.75,23.75,23.29,23.3,-0.21,125
2025-09-12,006201,177993,4191764,23.31,23.7,23.31,23.49,0.19,93
2025-09-15,006201,77661,1809611,23.45,23.48,23.13,23.3,-0.19,90
2025-09-16,006201,37944,895165,23.58,23.63,23.3,23.63,0.33,40
2025-09-17,006201,40961,963790,23.63,23.74,23.46,23.47,-0.16,53
2025-09-18,006201,206659,4945253,23.52,24.13,23.52,23.85,0.38,129
2025-09-19,006201,119897,2902908,24.19,24.33,24.15,24.19,0.34,56
2025-09-22,006201,206963,5060834,24.21,24.57,24.2,24.5,0.31,122
2025-09-23,006201,119316,2936216,24.6,24.75,24.48,24.62,0.12,75
2025-09-24,006201,128732,3136551,24.62,24.62,24.21,24.44,-0.18,87
2025-09-25,006201,272233,6624345,24.62,24.62,24.1,24.1,-0.34,167
2025-09-26,006201,197844,4666934,24.1,24.1,23.4,23.59,-0.51,169
2025-09-30,006201,88893,2119315,23.85,24.0,23.61,24.0,0.41,59
2025-10-01,006201,107840,2603307,24.05,24.38,24.01,24.03,0.03,65
2025-10-02,006201,57874,1410568,24.34,24.5,24.28,24.32,0.29,51
2025-10-03,006201,132633,3235172,24.45,24.46,24.36,24.4,0.08,82
