date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-08-18,TAIEX,8459665044,457868280041,24272.55,24515.65,24257.3,24482.52,148.04,3623467
2025-08-19,TAIEX,8279842992,477889208524,24493.92,24551.42,24324.29,24353.5,-129.02,3599780
2025-08-20,TAIEX,8611743600,572237896405,24309.27,24309.27,23620.24,23625.44,-728.06,4440609
2025-08-21,TAIEX,6990398614,420673855060,23739.83,24011.5,23739.83,23962.13,336.69,2970148
2025-08-22,TAIEX,6571719689,369732364563,24033.02,24071.65,23764.47,23764.47,-197.66,2924150
2025-08-25,TAIEX,7201907890,431825644540,24108.81,24362.02,24108.75,24277.38,512.91,3018636
2025-08-26,TAIEX,8259451660,532063118603,24237.36,24382.42,24113.03,24305.1,27.72,3221950
2025-08-27,TAIEX,7675360712,467302614203,24449.81,24539.88,24410.08,24519.9,214.8,3273312
2025-08-28,TAIEX,7619400963,449197099212,24468.12,24502.37,24236.45,24236.45,-283.45,3361480
2025-08-29,TAIEX,7716714041,478348167874,24438.03,24570.15,24233.1,24233.1,-3.35,3386334
2025-09-01,TAIEX,7882519521,522538354934,24143.37,24312.83,23885.41,24071.73,-161.37,3994537
2025-09-02,TAIEX,6868073676,420249878093,24113.9,24295.03,23890.33,24016.78,-54.95,3133277
2025-09-03,TAIEX,6215237843,375154827165,24036.88,24103.23,23925.49,24100.3,83.52,2825606
2025-09-04,TAIEX,7455297262,450547881333,24235.27,24389.35,24168.16,24179.85,79.55,3277050
2025-09-05,TAIEX,6973379276,426569974111,24244.26,24494.58,24244.26,24494.58,314.73,3089868
2025-09-08,TAIEX,7768998687,443185374596,24610.85,24729.96,24547.38,24547.38,52.8,3241448
2025-09-09,TAIEX,8091742979,512534389842,24650.46,24880.07,24650.46,24855.18,307.8,3429591
2025-09-10,TAIEX,8693632992,540470187649,25032.88,25272.23,25032.88,25192.59,337.41,3674708
2025-09-11,TAIEX,9553641157,609494103234,25509.3,25541.44,25174.13,25215.71,23.12,4224556
2025-09-12,TAIEX,7830621434,495051339127,25349.7,25492.28,25349.7,25474.64,258.93,3399552
2025-09-15,TAIEX,6958333955,407891369036,25494.1,25519.94,25284.17,25357.16,-117.48,3179132
2025-09-16,TAIEX,7560459055,455107630117,25335.46,25664.81,25335.46,25629.64,272.48,3183247
2025-09-17,TAIEX,7849906030,439687060953,25543.91,25632.07,25422.96,25438.25,-191.39,3344507
2025-09-18,TAIEX,8339290249,467374300986,25543.17,25769.36,25475.25,25769.36,331.11,3371322
2025-09-19,TAIEX,9787714693,619694769912,25794.66,25864.01,25578.37,25578.37,-190.99,3620290
2025-09-22,TAIEX,7847993700,482061403631,25599.6,25887.69,25599.6,25880.6,302.23,3364352
2025-09-23,TAIEX,8950246446,547004847440,26121.0,26307.3,26041.69,26247.37,366.77,3683215
2025-09-24,TAIEX,7897848080,515187636594,26389.16,26394.03,26045.47,26196.73,-50.64,3460483
2025-09-25,TAIEX,8846470892,503204151623,26067.97,26247.85,26023.85,26023.85,-172.88,3716116
2025-09-26,TAIEX,8334201118,500052396638,25998.28,25998.28,25469.04,25580.32,-443.53,4019744
2025-09-30,TAIEX,6699602406,455296213373,25738.31,25975.84,25738.31,25820.54,240.22,2736444
2025-10-01,TAIEX,7679791251,468840061902,26078.29,26325.79,25982.91,25982.91,162.37,3129297
2025-10-02,TAIEX,8085314896,506683446386,26392.31,26489.79,26330.25,26378.39,395.48,3240734
2025-10-03,TAIEX,7784825692,480095576070,26435.1,26761.06,26410.03,26761.06,382.67,3218063
2025-10-07,TAIEX,9348656371,575780610445,27029.28,27301.42,27017.08,27211.95,450.89,3811647
2025-10-08,TAIEX,8261189883,471275287964,26999.82,27110.43,26883.99,27063.68,-148.27,3551145
2025-10-09,TAIEX,9444331803,582670484489,27301.61,27463.12,27253.07,27301.92,238.24,3900659
2025-10-13,TAIEX,10191083804,608460235868,26762.6,26965.72,26470.44,26923.42,-378.5,4675496
2025-10-14,TAIEX,12066540173,709086353790,27282.1,27507.16,26764.06,26793.15,-130.27,5032547
2025-10-15,TAIEX,8387861014,521429411299,26911.05,27275.71,26773.15,27275.71,482.56,3394353
2025-10-16,TAIEX,9035460141,565481652363,27337.32,27732.78,27337.32,27647.87,372.16,3459021
2025-10-17,TAIEX,8962849575,556452817043,27399.91,27513.09,27302.37,27302.37,-345.5,3811384
