date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-08-05,TPEx,1128122000,105691322000,234.24,237.38,234.24,237.03,3.16,878065
2025-08-06,TPEx,979946000,104183559000,236.97,237.23,236.05,236.05,-0.98,830400
2025-08-07,TPEx,1153876000,139318442000,236.45,240.12,236.45,239.54,3.49,951842
2025-08-08,TPEx,1218944000,138994829000,239.59,241.29,239.59,239.79,0.25,1061250
2025-08-11,TPEx,1181815000,125030600000,239.81,240.3,238.79,240.2,0.41,1016942
2025-08-12,TPEx,1419853000,148191660000,240.32,242.47,240.32,242.36,2.16,1120333
2025-08-13,TPEx,1675571000,177993728000,242.77,246.09,242.13,243.33,0.97,1380923
2025-08-14,TPEx,1282870000,147721275000,243.65,245.94,243.65,245.53,2.2,1108364
2025-08-15,TPEx,1381077000,166694851000,245.68,246.63,244.35,246.07,0.54,1186298
2025-08-18,TPEx,1327504000,160852124000,246.01,248.55,246.01,248.34,2.27,1155983
2025-08-19,TPEx,1240850000,159290245000,248.51,249.93,246.43,246.97,-1.37,1108251
2025-08-20,TPEx,1110784000,133632245000,246.73,246.73,241.04,241.32,-5.65,1016937
2025-08-21,TPEx,1052598000,118175682000,241.77,246.94,241.77,245.68,4.36,895008
2025-08-22,TPEx,998586000,116223102000,245.59,246.97,244.07,244.14,-1.54,863320
2025-08-25,TPEx,861535000,108653543000,244.96,248.55,244.96,247.48,3.34,792940
2025-08-26,TPEx,951858000,118177202000,247.47,250.28,247.4,250.28,2.8,842463
2025-08-27,TPEx,1067171000,136743502000,250.67,254.19,250.67,253.83,3.55,984773
2025-08-28,TPEx,1155237000,151005028000,253.84,255.35,253.35,253.99,0.16,1025389
2025-08-29,TPEx,1151790000,149250453000,254.52,256.69,254.52,255.0,1.01,1070094
2025-09-01,TPEx,1071712000,143854005000,254.99,256.75,250.4,252.37,-2.63,1024495
2025-09-02,TPEx,1232978000,155604767000,252.67,254.79,248.75,251.05,-1.32,1061456
2025-09-03,TPEx,1126286000,147612746000,251.27,254.2,251.27,253.85,2.8,1042144
2025-09-04,TPEx,1266940000,149718971000,254.26,256.86,254.18,254.18,0.33,1105261
2025-09-05,TPEx,1135087000,147953707000,254.76,258.06,254.76,258.03,3.85,983988
2025-09-08,TPEx,1184719000,161470339000,258.68,260.81,258.68,259.78,1.75,1094748
2025-09-09,TPEx,1201322000,155371622000,260.18,261.29,258.95,259.6,-0.18,1123747
2025-09-10,TPEx,1265206000,165651128000,259.95,261.6,259.95,260.73,1.13,1127895
2025-09-11,TPEx,1288657000,163518032000,260.88,262.26,256.58,256.58,-4.15,1187294
2025-09-12,TPEx,1050837000,149946221000,256.91,259.8,256.91,258.09,1.51,985883
2025-09-15,TPEx,1007192000,136597122000,258.11,259.14,254.72,255.82,-2.27,1006334
2025-09-16,TPEx,1122265000,138268772000,256.11,259.41,256.11,259.33,3.51,972231
2025-09-17,TPEx,1101737000,142079977000,259.29,260.75,257.76,257.89,-1.44,987784
2025-09-18,TPEx,1176002000,156842383000,258.09,262.77,258.09,262.45,4.56,1037263
2025-09-19,TPEx,1178949000,165076126000,262.66,264.54,262.66,263.28,0.83,1035515
2025-09-22,TPEx,1082202000,153659988000,263.43,266.05,263.43,266.05,2.77,1011912
2025-09-23,TPEx,1167618000,165385713000,266.47,268.26,265.54,265.54,-0.51,1056268
2025-09-24,TPEx,1091798000,147685556000,265.62,266.31,262.61,264.87,-0.67,1046540
2025-09-25,TPEx,1089525000,137850528000,264.75,266.82,263.04,263.13,-1.74,995264
2025-09-26,TPEx,1004292000,120973550000,262.94,262.94,255.71,257.03,-6.1,925302
2025-09-30,TPEx,806362000,103661836000,257.24,261.52,257.24,261.52,4.49,749033
2025-10-01,TPEx,957538000,118447721000,261.86,263.97,261.38,261.47,-0.05,884484
2025-10-02,TPEx,938377000,129256946000,262.07,265.25,262.07,262.94,1.47,884276
2025-10-03,TPEx,921344000,116299978000,262.75,264.43,262.75,263.66,0.72,891084
