Date,stock_id,Volume,Trading_money,Open,High,Low,Close,spread,Trading_turnover
2025-06-02,TAIEX,6799184355,357964491699,21253.97,21256.1,20940.98,21002.71,-344.59,2934061
2025-06-03,TAIEX,6212282158,356029228852,21126.7,21303.21,21110.63,21126.93,124.22,2284098
2025-06-04,TAIEX,6939766989,416698575220,21341.44,21618.09,21341.44,21618.09,491.16,2618976
2025-06-05,TAIEX,6479408591,370407613418,21695.93,21738.93,21626.74,21674.43,56.34,2503470
2025-06-06,TAIEX,5283685603,306326887550,21637.77,21702.46,21606.7,21660.66,-13.77,2093692
2025-06-09,TAIEX,5424065394,307755303958,21773.45,21866.27,21717.52,21790.29,129.63,2073874
2025-06-10,TAIEX,6797923817,402770551130,21921.24,22294.86,21921.24,22242.14,451.85,2637127
2025-06-11,TAIEX,6677404614,411974082607,22376.37,22470.1,22294.6,22470.1,227.96,2544038
2025-06-12,TAIEX,5845048888,350086370163,22362.67,22390.17,22253.64,22287.82,-182.28,2174517
2025-06-13,TAIEX,6908522212,374682954150,22215.5,22228.01,21984.36,22072.95,-214.87,2556297
2025-06-16,TAIEX,5524506597,298283417109,22058.57,22094.6,21936.38,22049.9,-23.05,1977348
2025-06-17,TAIEX,6125208525,374245537952,22172.59,22331.69,22118.46,22211.59,161.69,2318537
2025-06-18,TAIEX,6399812298,394797009579,22135.83,22370.25,22104.68,22356.73,145.14,2572872
2025-06-19,TAIEX,5689009009,337907299094,22238.1,22249.4,21973.04,22003.5,-353.23,2549579
2025-06-20,TAIEX,6862237230,463891770965,21960.51,22089.48,21779.55,22045.74,42.24,2427976
2025-06-23,TAIEX,5617706428,314404805401,21750.7,21801.32,21551.58,21732.02,-313.72,2230655
2025-06-24,TAIEX,7011455635,401630916668,22001.48,22201.05,22001.48,22188.76,456.74,2352155
2025-06-25,TAIEX,6335015793,401074986062,22341.87,22444.51,22284.52,22430.61,241.85,2303648
2025-06-26,TAIEX,6410607751,399984776279,22425.39,22587.67,22391.27,22492.34,61.73,2320884
