report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,date_distance,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251230,TAIEX,28841.64,134.5099999999984,0.004685595529751612,1,20251229_max,2025-12-29,-1,max,8569606301,34794779.735271305,0.00816326530612245,8277694050.719166,33609541.803236574,0.08571428571428572,"12/29 max [28842] (dis： 135 , 0.47%) (vol_wei_pr ：8.57%)"
TAIEX-60-20251230,TAIEX,28833.03,125.89999999999782,0.004385670040857369,2,20251229_max|20251230_max,2025-12-30,0,max,8876360103,66565280.121827796,0.03469387755102041,8876360103.0,65380042.189793065,0.2795918367346939,"12/30 max [28833] (dis： 126 , 0.44%) (vol_wei_pr ：27.96%)"
TAIEX-60-20251230,TAIEX,28810.89,103.7599999999984,0.0036144330694151032,2,20251229_close|20251230_close,2025-12-29,-1,close,8569606301,66565280.121827796,0.03469387755102041,8277694050.719166,65380042.189793065,0.2795918367346939,"12/29 close [28811] (dis： 104 , 0.36%) (vol_wei_pr ：27.96%)"
TAIEX-60-20251230,TAIEX,28723.82,16.68999999999869,0.0005813886654639001,2,20251229_open|20251230_open,2025-12-30,0,open,8876360103,66565280.121827796,0.03469387755102041,8876360103.0,65380042.189793065,0.2795918367346939,"12/30 open [28724] (dis： 17 , 0.06%) (vol_wei_pr ：27.96%)"
TAIEX-60-20251230,TAIEX,28707.13,0.0,0.0,2,20251229_close|20251230_close,2025-12-30,0,close,8876360103,66565280.121827796,0.03469387755102041,8876360103.0,65380042.189793065,0.2795918367346939,"12/30 close [28707] (dis： 0 , 0.00%) (vol_wei_pr ：27.96%)"
TAIEX-60-20251230,TAIEX,28662.79,-44.340000000000146,-0.0015445640159779171,2,20251229_open|20251230_open,2025-12-29,-1,open,8569606301,66565280.121827796,0.03469387755102041,8277694050.719166,65380042.189793065,0.2795918367346939,"12/29 open [28663] (dis： -44 , -0.15%) (vol_wei_pr ：27.96%)"
TAIEX-60-20251230,TAIEX,28595.35,-111.78000000000247,-0.003893806172891629,2,20251229_min|20251230_min,2025-12-29,-1,min,8569606301,66565280.121827796,0.03469387755102041,8277694050.719166,65380042.189793065,0.2795918367346939,"12/29 min [28595] (dis： -112 , -0.39%) (vol_wei_pr ：27.96%)"
TAIEX-60-20251230,TAIEX,28590.91,-116.22000000000116,-0.004048471581798709,2,20251226_max|20251230_max,2025-12-26,-2,max,8057092373,74955859.0883843,0.05714285714285714,7517532999.868585,72063864.80671299,0.2938775510204082,"12/26 max [28591] (dis： -116 , -0.40%) (vol_wei_pr ：29.39%)"
TAIEX-60-20251230,TAIEX,28568.02,-139.11000000000058,-0.0048458344669077185,3,20251211_max|20251226_max|20251230_max,2025-12-11,-12,max,8087246896,88807916.8723282,0.06326530612244897,5335593127.822767,81202814.7199116,0.3081632653061224,"12/11 max [28568] (dis： -139 , -0.48%) (vol_wei_pr ：30.82%)"
TAIEX-60-20251230,TAIEX,28556.02,-151.11000000000058,-0.005263849085575625,3,20251211_close|20251226_close|20251230_close,2025-12-26,-2,close,8057092373,88807916.8723282,0.06326530612244897,7517532999.868585,81202814.7199116,0.3081632653061224,"12/26 close [28556] (dis： -151 , -0.53%) (vol_wei_pr ：30.82%)"
TAIEX-60-20251230,TAIEX,28554.61,-152.52000000000044,-0.005312965803269098,4,20251104_max|20251211_max|20251226_max|20251230_max,2025-11-04,-39,max,8404740088,104940165.26097286,0.09183673469387756,2175283151.7774734,85378102.4447767,0.32857142857142857,"11/04 max [28555] (dis： -153 , -0.53%) (vol_wei_pr ：32.86%)"
TAIEX-60-20251230,TAIEX,28553.64,-153.4900000000016,-0.005346755318278128,4,20251104_min|20251211_min|20251226_min|20251230_min,2025-12-30,0,min,8876360103,104940165.26097286,0.09183673469387756,8876360103.0,85378102.4447767,0.32857142857142857,"12/30 min [28554] (dis： -153 , -0.53%) (vol_wei_pr ：32.86%)"
