日期,股票代號,開盤價,收盤價,最高價,最低價,成交量,5日平均
2025-01-02,TAIEX,22975.71,22832.06,23038.08,22713.63,6901476303,
2025-01-03,TAIEX,23018.56,22908.3,23092.07,22905.4,6197928734,
2025-01-06,TAIEX,23131.79,23547.71,23553.29,23131.79,7153019323,
2025-01-07,TAIEX,23824.72,23651.27,23943.95,23651.27,7417093353,
2025-01-08,TAIEX,23522.29,23407.33,23671.28,23388.63,6069785523,23269.334
2025-01-09,TAIEX,23406.72,23081.13,23463.96,23081.13,6729365148,23319.148
2025-01-10,TAIEX,23067.46,23011.86,23202.25,22989.67,6018777446,23339.86
2025-01-13,TAIEX,23070.32,22488.33,23070.32,22458.22,7967679227,23127.984
2025-01-14,TAIEX,22573.96,22797.52,22797.52,22542.93,5077382309,22957.234000000004
2025-01-15,TAIEX,22757.46,22514.57,22777.34,22509.65,5200875025,22778.682
2025-01-16,TAIEX,22817.52,23025.1,23147.69,22817.52,5748443851,22767.476000000002
2025-01-17,TAIEX,23190.12,23148.08,23209.88,22905.53,5442058343,22794.72
2025-01-20,TAIEX,23203.47,23266.82,23346.64,23176.43,5022728587,22950.417999999998
2025-01-21,TAIEX,23266.49,23300.01,23377.64,23174.02,4315813970,23050.915999999997
2025-01-22,TAIEX,23472.67,23525.41,23642.08,23472.67,5160999257,23253.084
2025-02-03,TAIEX,22796.71,22694.71,22796.71,22502.2,7689151963,23187.006
2025-02-04,TAIEX,22836.27,22793.96,22934.31,22720.62,6940459300,23116.181999999997
2025-02-05,TAIEX,22916.38,23161.58,23249.33,22916.38,5984578780,23095.134
2025-02-06,TAIEX,23226.5,23316.6,23348.42,23216.65,5581052121,23098.452
2025-02-07,TAIEX,23289.97,23478.27,23478.27,23254.17,5980328909,23089.023999999998
2025-02-10,TAIEX,23421.77,23252.14,23448.16,23163.85,5799480347,23200.51
2025-02-11,TAIEX,23321.92,23384.05,23485.51,23289.76,5923166370,23318.528
2025-02-12,TAIEX,23449.31,23289.75,23528.61,23289.75,6224128986,23344.162
2025-02-13,TAIEX,23263.28,23399.41,23413.1,23206.45,7333190894,23360.724
2025-02-14,TAIEX,23198.39,23152.61,23276.24,23142.95,7543572464,23295.592
2025-02-17,TAIEX,23258.17,23505.33,23510.68,23242.84,7348992216,23346.230000000003
2025-02-18,TAIEX,23550.5,23666.11,23666.11,23454.09,6663218845,23402.642
2025-02-19,TAIEX,23589.44,23604.08,23683.46,23550.99,7287234134,23465.508
2025-02-20,TAIEX,23530.97,23487.46,23576.71,23400.75,7049129458,23483.118
2025-02-21,TAIEX,23526.13,23730.25,23732.58,23488.42,7160637295,23598.646
2025-02-24,TAIEX,23573.8,23565.31,23605.22,23461.43,7075015428,23610.642
2025-02-25,TAIEX,23376.42,23285.72,23376.42,23209.53,7531906148,23534.564000000002
2025-02-26,TAIEX,23221.84,23402.55,23431.24,23156.02,6886556787,23494.258
2025-02-27,TAIEX,23446.46,23053.18,23487.73,23053.18,8994191747,23407.402000000002
2025-03-03,TAIEX,22734.05,22756.25,22775.02,22611.1,7315722624,23212.602000000003
2025-03-04,TAIEX,22508.8,22596.88,22700.94,22359.5,7667305249,23018.916
2025-03-05,TAIEX,22778.86,22871.9,22948.3,22757.22,7220068963,22936.152
2025-03-06,TAIEX,22930.11,22715.43,22979.97,22715.43,6624545535,22798.728
2025-03-07,TAIEX,22696.23,22576.07,22747.11,22542.08,6465829764,22703.306
2025-03-10,TAIEX,22548.98,22459.15,22641.25,22407.57,6345999382,22643.886000000002
2025-03-11,TAIEX,22126.06,22071.09,22140.39,21769.57,8053156074,22538.728
2025-03-12,TAIEX,22171.1,22278.36,22391.47,22153.61,6682514475,22420.02
2025-03-13,TAIEX,22403.34,21961.68,22552.43,21961.68,7430996227,22269.27
2025-03-14,TAIEX,21986.81,21968.05,22074.03,21895.9,7243124747,22147.666
2025-03-17,TAIEX,22137.53,22118.63,22306.83,22110.08,6360352806,22079.561999999998
2025-03-18,TAIEX,22204.62,22271.67,22327.1,22186.42,5824074264,22119.678
2025-03-19,TAIEX,22245.42,21960.83,22247.66,21942.69,6087757032,22056.172
2025-03-20,TAIEX,22171.0,22377.26,22377.26,22171.0,5714382919,22139.287999999997
2025-03-21,TAIEX,22362.38,22209.1,22366.95,22200.23,6429617622,22187.498
2025-03-24,TAIEX,22348.38,22106.64,22380.73,22106.64,5021528942,22185.1
2025-03-25,TAIEX,22269.37,22273.19,22414.02,22228.68,4993587020,22185.404
2025-03-26,TAIEX,22327.61,22260.29,22398.12,22235.89,4406501724,22245.296
2025-03-27,TAIEX,22093.2,21951.76,22093.2,21919.4,5608186918,22160.196
2025-03-28,TAIEX,21836.16,21602.89,21836.16,21525.05,6814236162,22038.953999999998
2025-03-31,TAIEX,21254.63,20695.9,21254.63,20695.9,8683910354,21756.806
2025-04-01,TAIEX,20884.53,21280.17,21315.52,20884.53,5826078127,21558.201999999997
2025-04-02,TAIEX,21313.77,21298.22,21390.52,21235.99,4985282024,21365.788
2025-04-07,TAIEX,20153.57,19232.35,20153.57,19212.02,5683302502,20821.906
2025-04-08,TAIEX,19064.47,18459.95,19064.47,18180.48,12393863553,20193.318
2025-04-09,TAIEX,18337.44,17391.76,18371.52,17306.97,12614257140,19532.489999999998
2025-04-10,TAIEX,18256.47,19000.03,19024.47,18256.47,5329120133,19076.462
2025-04-11,TAIEX,18772.5,19528.77,19528.77,18418.2,9129660662,18722.571999999996
2025-04-14,TAIEX,19686.68,19513.09,20023.63,19508.93,7665646173,18778.72
2025-04-15,TAIEX,19609.9,19857.67,19895.43,19576.15,5242983763,19058.264
2025-04-16,TAIEX,19737.09,19468.0,19737.09,19453.14,5216346236,19473.512
2025-04-17,TAIEX,19389.52,19338.73,19478.0,19196.47,4599431706,19541.252
2025-04-18,TAIEX,19423.98,19395.03,19499.28,19376.35,3792878040,19514.503999999997
2025-04-21,TAIEX,19321.14,19106.2,19359.96,19080.6,4486948824,19433.125999999997
2025-04-22,TAIEX,18990.86,18793.43,19059.65,18793.43,4881720763,19220.278
2025-04-23,TAIEX,19163.61,19639.14,19639.14,19163.61,5314940502,19254.506
2025-04-24,TAIEX,19752.59,19478.81,19752.59,19433.37,4358134847,19282.522
2025-04-25,TAIEX,19861.24,19872.73,20012.27,19861.24,4961167477,19378.061999999998
2025-04-28,TAIEX,19972.07,20034.41,20073.75,19972.07,3948682101,19563.704
2025-04-29,TAIEX,20018.32,20232.63,20232.63,20007.3,4654115665,19851.544
2025-04-30,TAIEX,20215.39,20235.03,20331.89,20185.31,5103616376,19970.722
2025-05-02,TAIEX,20534.08,20787.64,20787.64,20534.08,5955569594,20232.488
2025-05-05,TAIEX,20839.04,20532.99,20885.54,20320.8,7760468724,20364.54
2025-05-06,TAIEX,20353.88,20522.59,20623.85,20349.56,5768063988,20462.176
2025-05-07,TAIEX,20575.15,20546.49,20685.28,20418.03,5075266647,20524.947999999997
2025-05-08,TAIEX,20559.65,20543.4,20747.28,20543.4,4516660206,20586.622
2025-05-09,TAIEX,20690.8,20915.04,20915.04,20643.56,5297103516,20612.102000000003
2025-05-12,TAIEX,20996.95,21129.54,21176.13,20996.95,5246162892,20731.412000000004
2025-05-13,TAIEX,21474.02,21330.14,21626.28,21330.14,6807098682,20892.922
2025-05-14,TAIEX,21552.42,21782.87,21782.87,21552.42,6994105576,21140.197999999997
2025-05-15,TAIEX,21776.65,21730.25,21821.01,21674.32,6398847326,21377.568
2025-05-16,TAIEX,21731.88,21843.69,21854.5,21697.85,6558510923,21563.298
2025-05-19,TAIEX,21786.33,21523.83,21786.33,21496.69,6118958991,21642.156
2025-05-20,TAIEX,21631.61,21526.03,21746.56,21517.1,5030140371,21681.334
2025-05-21,TAIEX,21603.58,21803.91,21879.24,21603.58,5594779740,21685.542
2025-05-22,TAIEX,21733.82,21670.96,21733.82,21585.31,5976457767,21673.684
2025-05-23,TAIEX,21766.24,21652.24,21798.88,21559.78,5316070068,21635.394
2025-05-26,TAIEX,21577.64,21536.57,21688.45,21536.57,5330804601,21637.942
