report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251226,TAIEX,28590.91,34.89,0.001221809,1,20251226_max,2025/12/26,max,8057092373,43185358.7,0.040816327,8057092373,43185358.7,0.175510204,"12/26 max [28591] (dis： 35 , 0.12%) (vol_wei_pr ：17.55%)"
TAIEX-60-20251226,TAIEX,28568.02,12,0.000420227,2,20251211_max|20251226_max,2025/12/11,max,8087246896,57037416.49,0.059183673,5718547121,52980242.69,0.283673469,"12/11 max [28568] (dis： 12 , 0.04%) (vol_wei_pr ：28.37%)"
TAIEX-60-20251226,TAIEX,28556.02,0,0,2,20251211_close|20251226_close,2025/12/26,close,8057092373,57037416.49,0.059183673,8057092373,52980242.69,0.283673469,"12/26 close [28556] (dis： 0 , 0.00%) (vol_wei_pr ：28.37%)"
TAIEX-60-20251226,TAIEX,28554.61,-1.41,-4.94E-05,3,20251104_max|20251211_max|20251226_max,2025/11/4,max,8404740088,73169664.87,0.069387755,2331410756,57455205.28,0.297959184,"11/04 max [28555] (dis： -1 , -0.00%) (vol_wei_pr ：29.80%)"
TAIEX-60-20251226,TAIEX,28527.68,-28.34,-0.000992435,4,20251030_max|20251104_max|20251211_max|20251226_max,2025/10/30,max,9446378341,96149080.9,0.085714286,2361594585,63200059.28,0.302040816,"10/30 max [28528] (dis： -28 , -0.10%) (vol_wei_pr ：30.20%)"
TAIEX-60-20251226,TAIEX,28494.99,-61.03,-0.002137203,5,20251030_max|20251103_max|20251104_max|20251211_max|20251226_max,2025/11/3,max,8299689369,120238270.5,0.118367347,2223846703,69654597.81,0.306122449,"11/03 max [28495] (dis： -61 , -0.21%) (vol_wei_pr ：30.61%)"
TAIEX-60-20251226,TAIEX,28489.76,-66.26,-0.002320351,6,20251030_max|20251031_max|20251103_max|20251104_max|20251211_max|20251226_max,2025/10/31,max,8339995492,152764285.4,0.232653061,2158526199,78072858.4,0.310204082,"10/31 max [28490] (dis： -66 , -0.23%) (vol_wei_pr ：31.02%)"
TAIEX-60-20251226,TAIEX,28486.38,-69.64,-0.002438715,7,20251030_max|20251031_max|20251103_max|20251104_max|20251211_max|20251224_max|20251226_max,2025/12/24,max,7899870510,191152304.8,0.312244898,7630771919,115153240.9,0.393877551,"12/24 max [28486] (dis： -70 , -0.24%) (vol_wei_pr ：39.39%)"
TAIEX-60-20251226,TAIEX,28443.48,-112.54,-0.003941025,7,20251030_open|20251031_open|20251103_open|20251104_open|20251211_open|20251224_open|20251226_open,2025/12/26,open,8057092373,191152304.8,0.312244898,8057092373,115153240.9,0.393877551,"12/26 open [28443] (dis： -113 , -0.39%) (vol_wei_pr ：39.39%)"
TAIEX-60-20251226,TAIEX,28417.09,-138.93,-0.004865174,8,20251030_max|20251031_max|20251103_max|20251104_max|20251210_max|20251211_max|20251224_max|20251226_max,2025/12/10,max,8239950462,227559102.2,0.336734694,5628052022,140019816.4,0.532653061,"12/10 max [28417] (dis： -139 , -0.49%) (vol_wei_pr ：53.27%)"
TAIEX-60-20251226,TAIEX,28404.34,-151.68,-0.005311665,8,20251030_min|20251031_min|20251103_min|20251104_min|20251210_min|20251211_min|20251224_min|20251226_min,2025/12/26,min,8057092373,227559102.2,0.336734694,8057092373,140019816.4,0.532653061,"12/26 min [28404] (dis： -152 , -0.53%) (vol_wei_pr ：53.27%)"
TAIEX-60-20251226,TAIEX,28400.73,-155.29,-0.005438083,7,20251030_close|20251031_close|20251103_close|20251104_close|20251210_close|20251211_close|20251224_close,2025/12/10,close,8239950462,184373743.5,0.306122449,5628052022,96834457.68,0.334693878,"12/10 close [28401] (dis： -155 , -0.54%) (vol_wei_pr ：33.47%)"
TAIEX-60-20251226,TAIEX,28395.31,-160.71,-0.005627885,8,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251210_max|20251211_max|20251224_max,2025/10/29,max,9076231278,219874921.9,0.330612245,2191765380,105407427.2,0.375510204,"10/29 max [28395] (dis： -161 , -0.56%) (vol_wei_pr ：37.55%)"
TAIEX-60-20251226,TAIEX,28390.24,-165.78,-0.005805431,9,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251209_max|20251210_max|20251211_max|20251224_max,2025/12/9,max,8116345692,254713509.3,0.37755102,5354791174,128392323,0.442857143,"12/09 max [28390] (dis： -166 , -0.58%) (vol_wei_pr ：44.29%)"
TAIEX-60-20251226,TAIEX,28385.23,-170.79,-0.005980875,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025/12/11,open,8087246896,254713509.3,0.37755102,5718547121,128392323,0.442857143,"12/11 open [28385] (dis： -171 , -0.60%) (vol_wei_pr ：44.29%)"
TAIEX-60-20251226,TAIEX,28383.61,-172.41,-0.006037606,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025/12/24,open,7899870510,254713509.3,0.37755102,7630771919,128392323,0.442857143,"12/24 open [28384] (dis： -172 , -0.60%) (vol_wei_pr ：44.29%)"
TAIEX-60-20251226,TAIEX,28371.98,-184.04,-0.006444876,9,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251224_close,2025/12/24,close,7899870510,254713509.3,0.37755102,7630771919,128392323,0.442857143,"12/24 close [28372] (dis： -184 , -0.64%) (vol_wei_pr ：44.29%)"
TAIEX-60-20251226,TAIEX,28364.76,-191.26,-0.006697712,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025/11/4,open,8404740088,254713509.3,0.37755102,2331410756,128392323,0.442857143,"11/04 open [28365] (dis： -191 , -0.67%) (vol_wei_pr ：44.29%)"
TAIEX-60-20251226,TAIEX,28364.04,-191.98,-0.006722926,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025/12/9,open,8116345692,254713509.3,0.37755102,5354791174,128392323,0.442857143,"12/09 open [28364] (dis： -192 , -0.67%) (vol_wei_pr ：44.29%)"
TAIEX-60-20251226,TAIEX,28350.37,-205.65,-0.007201634,10,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251209_max|20251210_max|20251211_max|20251223_max|20251224_max,2025/12/23,max,7965662925,312632966.3,0.565306122,7432226308,182433087.2,0.806122449,"12/23 max [28350] (dis： -206 , -0.72%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28350.24,-205.78,-0.007206186,10,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251223_open|20251224_open,2025/10/30,open,9446378341,312632966.3,0.565306122,2361594585,182433087.2,0.806122449,"10/30 open [28350] (dis： -206 , -0.72%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28334.59,-221.43,-0.007754232,10,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/11/3,close,8299689369,312632966.3,0.565306122,2223846703,182433087.2,0.806122449,"11/03 close [28335] (dis： -221 , -0.78%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28310.47,-245.55,-0.008598887,10,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/12/23,close,7965662925,312632966.3,0.565306122,7432226308,182433087.2,0.806122449,"12/23 close [28310] (dis： -246 , -0.86%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28303.78,-252.24,-0.008833164,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/12/8,close,7603908443,340045304.3,0.66122449,4845821158,199902430.6,0.930612245,"12/08 close [28304] (dis： -252 , -0.88%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251226,TAIEX,28303.78,-252.24,-0.008833164,11,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251208_max|20251209_max|20251210_max|20251211_max|20251223_max|20251224_max,2025/12/8,max,7603908443,340045304.3,0.66122449,4845821158,199902430.6,0.930612245,"12/08 max [28304] (dis： -252 , -0.88%) (vol_wei_pr ：93.06%)"
